U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
48,00V;48,01V;6,00A;1,36A;350W;65W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:18.006
48,00V;48,01V;6,00A;1,35A;350W;65W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:18.099
48,00V;48,01V;6,00A;1,35A;350W;65W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:18.193
48,00V;48,01V;6,00A;1,35A;350W;65W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:18.302
48,00V;48,01V;6,00A;1,34A;350W;64W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:18.396
48,00V;48,01V;6,00A;1,34A;350W;64W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:18.491
48,00V;48,01V;6,00A;1,32A;350W;63W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:18.599
48,00V;48,01V;6,00A;1,31A;350W;63W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:18.693
48,00V;48,01V;6,00A;1,31A;350W;63W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:18.802
48,00V;48,01V;6,00A;1,31A;350W;63W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:18.896
48,00V;48,01V;6,00A;1,31A;350W;63W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:19.005
48,00V;48,01V;6,00A;1,29A;350W;62W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:19.098
48,00V;48,01V;6,00A;1,29A;350W;62W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:19.191
48,00V;48,01V;6,00A;1,28A;350W;61W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:19.298
48,00V;48,01V;6,00A;1,28A;350W;61W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:19.391
48,00V;48,01V;6,00A;1,26A;350W;61W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:19.500
48,00V;48,01V;6,00A;1,26A;350W;60W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:19.592
48,00V;48,01V;6,00A;1,25A;350W;60W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:19.700
48,00V;48,01V;6,00A;1,26A;350W;61W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:19.793
48,00V;48,01V;6,00A;1,26A;350W;60W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:19.901
48,00V;48,01V;6,00A;1,25A;350W;60W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:19.993
48,00V;48,01V;6,00A;1,25A;350W;60W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:20.102
48,00V;48,01V;6,00A;1,26A;350W;60W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:20.196
48,00V;48,01V;6,00A;1,25A;350W;60W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:20.306
48,00V;48,01V;6,00A;1,25A;350W;60W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:20.401
48,00V;48,01V;6,00A;1,22A;350W;59W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:20.495
48,00V;48,01V;6,00A;1,22A;350W;59W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:20.604
48,00V;48,01V;6,00A;1,21A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:20.698
48,00V;48,01V;6,00A;1,22A;350W;59W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:20.793
48,00V;48,01V;6,00A;1,23A;350W;59W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:20.900
48,00V;48,01V;6,00A;1,21A;350W;58W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:20.993
